,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,state
0,0,,2021-04-27 13:48:25.086404,2021-04-27 14:16:36.969737,0 days 00:28:11.883333000,32,100000,0.9999,20000,-1.8664966361126214,0.03196497516113261,medium,0.02,16,FAIL
1,1,-386.76256739999997,2021-04-27 13:48:25.088680,2021-04-27 14:07:09.640721,0 days 00:18:44.552041000,32,1000000,0.99,20000,-1.4355100951403799,0.3640650110987253,small,0.01,512,COMPLETE
2,2,1108.1237486,2021-04-27 13:48:25.092101,2021-04-27 14:20:34.704372,0 days 00:32:09.612271000,512,10000,0.9,20000,-3.4592629565875415,0.0007846283991006702,small,0.005,16,COMPLETE
3,3,871.8670102,2021-04-27 14:07:09.644048,2021-04-27 14:47:03.516927,0 days 00:39:53.872879000,1024,10000,0.999,20000,-0.8968042976683499,0.00029032059964988807,small,0.005,128,COMPLETE
4,4,1035.5367876,2021-04-27 14:16:36.972110,2021-04-27 16:09:22.847816,0 days 01:52:45.875706000,2048,100000,0.9999,20000,-2.5533672999025114,2.5690948300741802e-05,big,0.01,8,COMPLETE
5,5,-392.341084,2021-04-27 14:20:34.710283,2021-04-27 15:15:23.465882,0 days 00:54:48.755599000,64,100000,0.9999,10000,-2.071206969077083,0.7620402692017055,big,0.02,8,COMPLETE
6,6,263.04366139999996,2021-04-27 14:47:03.529088,2021-04-27 15:20:11.933777,0 days 00:33:08.404689000,256,1000000,0.99,0,-1.5088262320685963,1.2649074445958799e-05,small,0.005,16,COMPLETE
7,7,,2021-04-27 15:15:23.469637,2021-04-27 16:17:21.011074,0 days 01:01:57.541437000,512,10000,0.999,10000,-2.4583023573836718,0.04452707540254749,big,0.02,8,FAIL
8,8,-376.8911046,2021-04-27 15:20:11.938824,2021-04-27 15:39:23.225271,0 days 00:19:11.286447000,32,100000,0.99,10000,0.021406880822276264,0.042368808828660405,small,0.005,8,COMPLETE
9,9,589.7474988,2021-04-27 15:39:23.229986,2021-04-27 17:12:40.198308,0 days 01:33:16.968322000,1024,100000,0.999,1000,0.6282297588215808,3.919298510544758e-05,big,0.005,64,COMPLETE
10,10,681.2502204,2021-04-27 16:09:22.849569,2021-04-27 16:44:14.523469,0 days 00:34:51.673900000,256,100000,0.9,0,0.5637074281654915,0.01243207262844908,small,0.05,256,COMPLETE
11,11,-377.7193032,2021-04-27 16:17:21.015384,2021-04-27 17:18:57.961493,0 days 01:01:36.946109000,512,10000,0.95,0,0.10070612351665709,0.2829594040360176,medium,0.001,512,COMPLETE
12,12,760.366803,2021-04-27 16:44:14.526438,2021-04-27 17:22:22.811102,0 days 00:38:08.284664000,512,100000,0.9,20000,-1.0287024710306318,0.008946854898148922,small,0.05,32,COMPLETE
13,13,,2021-04-27 17:12:40.208841,2021-04-27 17:29:33.939640,0 days 00:16:53.730799000,256,10000,0.9,0,-3.7738387375608116,0.02956576276262921,medium,0.02,8,PRUNED
14,14,866.7060508000001,2021-04-27 17:18:57.963639,2021-04-27 17:52:19.650539,0 days 00:33:21.686900000,16,10000,0.98,20000,-3.8717728980286346,0.0007189992452792743,medium,0.02,32,COMPLETE
15,15,1479.2653606,2021-04-27 17:22:22.815602,2021-04-27 19:09:11.437517,0 days 01:46:48.621915000,2048,10000,0.98,20000,-3.902202494799899,0.0004987815539978998,big,0.01,16,COMPLETE
16,16,825.529443,2021-04-27 17:29:33.952355,2021-04-27 19:16:41.251126,0 days 01:47:07.298771000,2048,10000,0.9999,20000,-3.5249826683053374,0.0008364623763103914,big,0.01,16,COMPLETE
17,17,58.693134,2021-04-27 17:52:19.655383,2021-04-27 18:03:54.219344,0 days 00:11:34.563961000,2048,10000,0.9999,20000,-2.77985767872288,8.209885515386032e-05,big,0.01,16,PRUNED
18,18,950.615966,2021-04-27 18:03:54.220638,2021-04-27 19:02:32.596575,0 days 00:58:38.375937000,128,1000000,0.995,20000,-2.998239839503322,0.0012649187601452571,big,0.01,16,COMPLETE
19,19,378.5863664,2021-04-27 19:02:32.603931,2021-04-27 20:23:53.400414,0 days 01:21:20.796483000,2048,100000,0.9999,1000,-3.085472096416138,1.4503703505951561e-05,big,0.001,8,PRUNED
20,20,707.5597586,2021-04-27 19:09:11.442144,2021-04-27 20:32:28.324875,0 days 01:23:16.882731000,512,10000,0.98,1000,-3.424435549695421,0.00014206651517785588,big,0.001,16,COMPLETE
21,21,832.4201575999999,2021-04-27 19:16:41.255411,2021-04-27 20:00:19.302806,0 days 00:43:38.047395000,512,10000,0.98,1000,-3.283988465476539,0.00017905974775908555,small,0.001,16,COMPLETE
22,22,1045.9799653999999,2021-04-27 20:00:19.308236,2021-04-27 21:01:03.562066,0 days 01:00:44.253830000,64,10000,0.98,1000,-3.9128897061723844,0.0030986260195742838,big,0.005,16,COMPLETE
23,23,888.3197868000001,2021-04-27 20:23:53.402338,2021-04-27 21:11:40.612025,0 days 00:47:47.209687000,16,10000,0.98,10000,-2.165281632876038,0.003581309218848629,big,0.005,64,COMPLETE
24,24,895.2934234,2021-04-27 20:32:28.329358,2021-04-27 21:00:26.986096,0 days 00:27:58.656738000,64,10000,0.9,10000,-2.3553314592917354,0.003398182444871685,small,0.005,64,COMPLETE
25,25,80.74199440000001,2021-04-27 21:00:26.995514,2021-04-27 21:10:33.223934,0 days 00:10:06.228420000,2048,10000,0.995,20000,-2.570228298745734,4.097552751814686e-05,big,0.01,256,PRUNED
26,26,1046.6032220000002,2021-04-27 21:01:03.564455,2021-04-27 22:00:32.869954,0 days 00:59:29.305499000,64,10000,0.98,1000,-3.881958241658322,0.0018513392456563596,big,0.005,16,COMPLETE
27,27,889.8526284,2021-04-27 21:10:33.226568,2021-04-27 22:01:29.172506,0 days 00:50:55.945938000,64,10000,0.98,1000,-3.9383913932048173,0.0029885419198985505,big,0.005,16,COMPLETE
28,28,1024.7400816000002,2021-04-27 21:11:40.613813,2021-04-27 22:03:44.682024,0 days 00:52:04.068211000,64,10000,0.98,1000,-3.8722519675479994,0.0004498529166951399,big,0.005,16,COMPLETE
29,29,420.30424039999997,2021-04-27 22:00:32.871447,2021-04-27 22:14:16.726348,0 days 00:13:43.854901000,128,10000,0.95,1000,-3.878989960130493,0.0004262575316667486,medium,0.005,128,PRUNED
30,30,84.1314416,2021-04-27 22:01:29.174449,2021-04-27 22:05:32.562262,0 days 00:04:03.387813000,128,10000,0.95,20000,-3.616793384911236,0.00032035832912997677,medium,0.05,128,PRUNED
31,31,636.8301787999999,2021-04-27 22:03:44.683862,2021-04-27 22:17:23.154043,0 days 00:13:38.470181000,128,10000,0.95,20000,-3.5010735481021067,0.0016249423423266248,medium,0.05,128,PRUNED
32,32,261.47998140000004,2021-04-27 22:05:32.565434,2021-04-27 22:09:24.335983,0 days 00:03:51.770549000,512,1000000,0.9,20000,-3.178112629281554,0.0014447300537999601,small,0.005,16,PRUNED
33,33,131.5794606,2021-04-27 22:09:24.343144,2021-04-27 22:11:27.390356,0 days 00:02:03.047212000,32,10000,0.98,20000,-1.802867985210566,0.00932955238081358,small,0.01,512,PRUNED
34,34,39.5487384,2021-04-27 22:11:27.391207,2021-04-27 22:32:34.419479,0 days 00:21:07.028272000,512,1000000,0.9,1000,-2.811627964021244,7.733306889266777e-05,big,0.01,16,PRUNED
35,35,1301.831535,2021-04-27 22:14:16.730557,2021-04-27 23:07:43.210745,0 days 00:53:26.480188000,64,10000,0.98,1000,-3.9766035749216306,0.0016886001505976717,big,0.005,16,COMPLETE
36,36,951.7241915999999,2021-04-27 22:17:23.156335,2021-04-27 23:16:21.590598,0 days 00:58:58.434263000,64,10000,0.98,1000,-2.859789634635188,0.005284287355693594,big,0.005,16,COMPLETE
37,37,287.5741064,2021-04-27 22:32:34.421432,2021-04-27 22:59:23.313243,0 days 00:26:48.891811000,64,10000,0.98,1000,-3.9488413310951147,0.006863679720947761,big,0.005,16,PRUNED
38,38,,2021-04-27 22:59:23.315166,2021-04-27 23:13:24.378039,0 days 00:14:01.062873000,64,10000,0.98,1000,-3.3203569782572555,0.027684946685123894,big,0.005,16,PRUNED
39,39,132.2429894,2021-04-27 23:07:43.214642,2021-04-27 23:59:33.892483,0 days 00:51:50.677841000,64,10000,0.999,1000,-3.3615758292961075,0.0007341882250854,big,0.005,16,COMPLETE
40,40,1021.3555820000001,2021-04-27 23:13:24.380227,2021-04-28 00:26:09.370711,0 days 01:12:44.990484000,1024,10000,0.999,20000,-2.86032002512209,0.0007146220467117226,big,0.005,16,COMPLETE
41,41,1071.3555512,2021-04-27 23:16:21.591820,2021-04-28 00:27:03.370016,0 days 01:10:41.778196000,1024,10000,0.999,20000,-3.664465909477282,0.000739383108403359,big,0.005,16,COMPLETE
42,42,110.2451296,2021-04-27 23:59:33.896311,2021-04-28 00:03:50.331835,0 days 00:04:16.435524000,1024,10000,0.98,20000,-3.6667380991642204,0.00021169259207752094,small,0.005,256,PRUNED
43,43,872.6437944000002,2021-04-28 00:03:50.335227,2021-04-28 00:49:27.159898,0 days 00:45:36.824671000,32,1000000,0.99,10000,-2.575833686173616,0.00143393715081036,big,0.02,512,COMPLETE
44,44,98.024905,2021-04-28 00:26:09.372593,2021-04-28 00:33:58.022832,0 days 00:07:48.650239000,32,1000000,0.99,10000,-0.7785492315244583,0.01665759113003405,small,0.01,512,PRUNED
45,45,27.602897200000008,2021-04-28 00:27:03.371632,2021-04-28 00:32:33.857658,0 days 00:05:30.486026000,1024,10000,0.999,20000,-3.9880565938256605,0.0017063036767498375,big,0.005,16,PRUNED
46,46,264.68705719999997,2021-04-28 00:32:33.858688,2021-04-28 00:39:01.161120,0 days 00:06:27.302432000,1024,10000,0.99,20000,-3.626457693341745,0.0004095690964539127,big,0.02,512,PRUNED
47,47,941.9236958000001,2021-04-28 00:33:58.025124,2021-04-28 02:15:03.380783,0 days 01:41:05.355659000,1024,10000,0.999,0,-3.636006222458755,0.0003784678320793958,big,0.02,32,COMPLETE
48,48,989.8104906000001,2021-04-28 00:39:01.163572,2021-04-28 02:55:37.083057,0 days 02:16:35.919485000,2048,10000,0.999,0,-3.649648450629835,0.0021258245787698898,big,0.005,32,COMPLETE
49,49,70.81750760000001,2021-04-28 00:49:27.163304,2021-04-28 01:35:26.446524,0 days 00:45:59.283220000,2048,10000,0.999,0,-3.697450549826005,0.00010857412500320022,big,0.005,32,PRUNED
50,50,-377.84942279999996,2021-04-28 01:35:26.449188,2021-04-28 01:40:50.330544,0 days 00:05:23.881356000,256,100000,0.999,20000,0.9633154133987705,0.14305129830167526,big,0.005,16,PRUNED
51,51,135.4306716,2021-04-28 01:40:50.332484,2021-04-28 01:42:36.292509,0 days 00:01:45.960025000,16,10000,0.9,20000,-3.11044423650506,0.0008811414073543413,small,0.005,16,PRUNED
52,52,964.1041268000001,2021-04-28 01:42:36.298781,2021-04-28 03:15:47.776563,0 days 01:33:11.477782000,1024,10000,0.995,0,-0.4012628845676971,0.0002316920509733538,big,0.01,16,COMPLETE
53,53,1042.3105639999999,2021-04-28 02:15:03.388103,2021-04-28 03:15:53.108441,0 days 01:00:49.720338000,512,10000,0.995,20000,-0.34265070580008716,0.002273699376581228,big,0.01,8,COMPLETE
54,54,248.26307740000001,2021-04-28 02:55:37.087156,2021-04-28 03:01:33.505907,0 days 00:05:56.418751000,512,100000,0.98,20000,-1.1864837806814252,0.0002409259274329168,big,0.01,8,PRUNED
55,55,-344.886862,2021-04-28 03:01:33.507250,2021-04-28 03:16:21.289798,0 days 00:14:47.782548000,64,10000,0.98,1000,-3.897852350580782,0.0035227507159343906,big,0.005,16,PRUNED
56,56,983.8854963999999,2021-04-28 03:15:47.779235,2021-04-28 04:17:32.521314,0 days 01:01:44.742079000,64,10000,0.98,1000,-3.9083732919991174,0.002920075115819654,big,0.005,16,COMPLETE
57,57,1007.3023684000002,2021-04-28 03:15:53.110785,2021-04-28 04:08:45.848292,0 days 00:52:52.737507000,64,10000,0.98,1000,-3.9757681781222023,0.004320495739427872,big,0.005,16,COMPLETE
58,58,360.2382538,2021-04-28 03:16:21.291675,2021-04-28 03:30:57.734219,0 days 00:14:36.442544000,64,10000,0.98,1000,-3.9820809255547043,0.00502548622237026,big,0.005,16,PRUNED
59,59,1134.5491332000001,2021-04-28 03:30:57.735839,2021-04-28 04:23:35.317424,0 days 00:52:37.581585000,64,10000,0.98,1000,-3.472755710956242,0.0009568226604877053,big,0.005,16,COMPLETE
60,60,70.2238292,2021-04-28 04:08:45.853994,2021-04-28 04:17:04.057134,0 days 00:08:18.203140000,64,10000,0.98,1000,-3.4237299555907508,0.0010155476572804702,small,0.001,16,PRUNED
61,61,882.4404244000001,2021-04-28 04:17:04.059285,2021-04-28 06:05:31.995714,0 days 01:48:27.936429000,2048,10000,0.9999,1000,-3.2024394844686634,0.0005866975082117459,big,0.005,64,PRUNED
62,62,866.4007844,2021-04-28 04:17:32.524473,2021-04-28 06:45:32.019217,0 days 02:27:59.494744000,2048,10000,0.9,1000,-3.207885573938035,0.0005133829621430226,big,0.05,64,COMPLETE
63,63,959.0442082000002,2021-04-28 04:23:35.322315,2021-04-28 06:16:52.585829,0 days 01:53:17.263514000,2048,10000,0.9999,20000,-3.2284505750803647,0.0010613244710702071,big,0.05,64,COMPLETE
64,64,205.54720980000002,2021-04-28 06:05:31.997660,2021-04-28 06:08:17.141033,0 days 00:02:45.143373000,256,10000,0.9,20000,-3.003135346634127,0.0010370085146529904,small,0.05,256,PRUNED
65,65,1073.4617412,2021-04-28 06:08:17.142148,2021-04-28 07:02:58.237644,0 days 00:54:41.095496000,64,10000,0.98,1000,-3.7591068702105805,0.0005618492475442352,big,0.005,16,COMPLETE
66,66,379.2153142,2021-04-28 06:16:52.587848,2021-04-28 06:39:26.398646,0 days 00:22:33.810798000,64,10000,0.98,1000,-3.7970156163624913,0.0005156971804455462,big,0.005,16,PRUNED
67,67,1217.7237484,2021-04-28 06:39:26.400621,2021-04-28 07:32:00.272612,0 days 00:52:33.871991000,64,10000,0.98,1000,-3.471206201927887,0.0019179467948395837,big,0.005,16,COMPLETE
68,68,303.7865286,2021-04-28 06:45:32.031441,2021-04-28 06:57:22.781678,0 days 00:11:50.750237000,64,10000,0.98,1000,-3.5169026567078423,0.0018351321757821132,medium,0.005,16,PRUNED
69,69,975.4247018,2021-04-28 06:57:22.783851,2021-04-28 08:01:17.069478,0 days 01:03:54.285627000,64,10000,0.98,1000,-3.780806776791366,0.0025267211102952673,big,0.005,16,COMPLETE
70,70,455.0291234,2021-04-28 07:02:58.240904,2021-04-28 07:17:16.419728,0 days 00:14:18.178824000,64,10000,0.98,1000,-3.495834443452919,0.00028344072077690483,big,0.005,16,PRUNED
71,71,267.02680799999996,2021-04-28 07:17:16.422366,2021-04-28 07:29:39.945693,0 days 00:12:23.523327000,16,100000,0.98,1000,-3.7578345100933834,0.00012448120242981165,big,0.005,16,PRUNED
72,72,684.5885234,2021-04-28 07:29:39.950372,2021-04-28 08:10:14.432303,0 days 00:40:34.481931000,64,10000,0.98,1000,-3.444719368050729,0.0006602616719447232,big,0.001,16,PRUNED
73,73,106.82445820000001,2021-04-28 07:32:00.276126,2021-04-28 07:37:30.882191,0 days 00:05:30.606065000,512,10000,0.98,20000,-3.330319205494544,0.0007767515394383897,big,0.001,16,PRUNED
74,74,-349.53021279999996,2021-04-28 07:37:30.883799,2021-04-28 07:45:25.876241,0 days 00:07:54.992442000,64,10000,0.95,1000,-2.6868650665708893,6.258914437578975e-05,small,0.005,128,PRUNED
75,75,999.63183,2021-04-28 07:45:25.878656,2021-04-28 08:38:34.087707,0 days 00:53:08.209051000,64,10000,0.98,1000,-3.7384296901429024,0.0023860472821779716,big,0.005,16,COMPLETE
76,76,929.5288204000001,2021-04-28 08:01:17.071341,2021-04-28 09:01:42.129470,0 days 01:00:25.058129000,64,10000,0.98,1000,-3.019988214787391,0.0005857261688410021,big,0.005,16,COMPLETE
77,77,894.743144,2021-04-28 08:10:14.433438,2021-04-28 08:59:02.339045,0 days 00:48:47.905607000,64,10000,0.98,1000,-2.929187909369948,0.000158864339767289,big,0.005,16,PRUNED
78,78,981.1905862,2021-04-28 08:38:34.096102,2021-04-28 09:28:44.961617,0 days 00:50:10.865515000,64,10000,0.98,1000,-3.027391853176444,0.0013261181488449362,big,0.005,16,COMPLETE
79,79,1055.4054852,2021-04-28 08:59:02.340922,2021-04-28 10:03:44.738376,0 days 01:04:42.397454000,128,10000,0.9,1000,-3.572332550964739,0.0013399879123821936,big,0.005,16,COMPLETE
80,80,1032.0699796000001,2021-04-28 09:01:42.133234,2021-04-28 10:00:59.189036,0 days 00:59:17.055802000,128,10000,0.9,10000,-3.5422110728336427,0.0013170472446645638,big,0.005,16,COMPLETE
81,81,315.02188820000003,2021-04-28 09:28:44.964369,2021-04-28 09:37:37.834448,0 days 00:08:52.870079000,128,1000000,0.9,10000,-3.5445793625023407,0.006415200559786012,medium,0.005,16,PRUNED
82,82,124.20776740000001,2021-04-28 09:37:37.836530,2021-04-28 09:41:19.267939,0 days 00:03:41.431409000,32,10000,0.98,20000,-2.314847386278212,0.0003309936417197905,big,0.005,16,PRUNED
83,83,433.1020668,2021-04-28 09:41:19.271483,2021-04-28 09:48:00.934013,0 days 00:06:41.662530000,1024,10000,0.999,20000,-3.791967730703879,0.0011108045317225496,big,0.01,16,PRUNED
84,84,1086.9307026,2021-04-28 09:48:00.935793,2021-04-28 10:33:26.873591,0 days 00:45:25.937798000,512,10000,0.98,1000,-1.6890812184130095,0.0017678533337438167,small,0.005,256,COMPLETE
85,85,144.8367068,2021-04-28 10:00:59.190966,2021-04-28 10:55:06.454603,0 days 00:54:07.263637000,64,10000,0.98,1000,-3.990971962033151,0.0020145703716098174,big,0.005,16,PRUNED
86,86,127.63575060000001,2021-04-28 10:03:44.742603,2021-04-28 10:22:15.113317,0 days 00:18:30.370714000,128,10000,0.9,1000,-3.3124027291750977,0.0016965656959536078,big,0.005,16,PRUNED
87,87,564.3185394,2021-04-28 10:22:15.120843,2021-04-28 10:40:06.287007,0 days 00:17:51.166164000,128,10000,0.9,1000,-3.390189092768212,0.0008145910791461931,big,0.005,16,PRUNED
88,88,507.8059216,2021-04-28 10:33:26.876854,2021-04-28 10:49:40.784034,0 days 00:16:13.907180000,512,10000,0.9,1000,-3.3666819575886544,0.0008441730499039863,small,0.005,256,PRUNED
89,89,1008.2340345999999,2021-04-28 10:40:06.290224,2021-04-28 11:23:33.203313,0 days 00:43:26.913089000,512,10000,0.9,1000,0.5808845642831888,0.0004439553854357034,small,0.005,256,COMPLETE
90,90,892.1466062,2021-04-28 10:49:40.787505,2021-04-28 11:33:16.357503,0 days 00:43:35.569998000,512,10000,0.99,1000,-1.6351263405619145,0.00043891076053441657,small,0.005,256,COMPLETE
91,91,517.7115056,2021-04-28 10:55:06.456669,2021-04-28 10:58:34.621401,0 days 00:03:28.164732000,512,10000,0.995,20000,-1.4593125717102247,0.00034548640906070067,small,0.005,256,PRUNED
92,92,25.1988414,2021-04-28 10:58:34.622926,2021-04-28 11:13:17.208524,0 days 00:14:42.585598000,512,10000,0.99,1000,-1.7366846823170583,0.009531353028939512,small,0.02,256,PRUNED
93,93,619.4949874,2021-04-28 11:13:17.215495,2021-04-28 11:16:52.931666,0 days 00:03:35.716171000,512,10000,0.9,20000,0.40571811746295894,0.00396880130672257,small,0.01,256,PRUNED
94,94,24.3511582,2021-04-28 11:16:52.933029,2021-04-28 11:26:46.657183,0 days 00:09:53.724154000,256,100000,0.98,1000,-3.6480138598238967,0.00047641391616720885,small,0.005,8,PRUNED
95,95,1100.0152934,2021-04-28 11:23:33.205062,2021-04-28 12:56:42.430865,0 days 01:33:09.225803000,1024,10000,0.98,1000,-3.6549178752421962,0.0013364723757510015,big,0.005,16,COMPLETE
96,96,-378.5763798,2021-04-28 11:26:46.659474,2021-04-28 11:53:08.869249,0 days 00:26:22.209775000,1024,10000,0.98,1000,-3.8491082550356372,0.002820495436828696,big,0.005,16,PRUNED
97,97,1089.6459997999998,2021-04-28 11:33:16.362241,2021-04-28 13:07:43.357891,0 days 01:34:26.995650000,1024,10000,0.98,1000,-2.045456797141441,0.0013412791846560406,big,0.005,16,COMPLETE
98,98,609.9769761999999,2021-04-28 11:53:08.871528,2021-04-28 12:13:13.333982,0 days 00:20:04.462454000,128,10000,0.98,1000,-3.1324353375336695,0.0014273562098857393,big,0.005,128,PRUNED
99,99,1399.9548044,2021-04-28 12:13:13.338206,2021-04-28 14:29:34.523057,0 days 02:16:21.184851000,2048,10000,0.98,1000,-2.0829518414675197,0.0010765586393026805,big,0.005,16,COMPLETE
100,100,978.9030301999999,2021-04-28 12:56:42.432446,2021-04-28 14:34:55.397277,0 days 01:38:12.964831000,1024,10000,0.999,1000,-2.0715196849346924,0.0010197625174073,big,0.005,16,COMPLETE
101,101,423.6757448,2021-04-28 13:07:43.360603,2021-04-28 13:15:19.334806,0 days 00:07:35.974203000,1024,10000,0.98,20000,-1.9813837837419674,0.0006187133506761703,big,0.005,32,PRUNED
102,102,1007.8997542000001,2021-04-28 13:15:19.338330,2021-04-28 14:52:28.051368,0 days 01:37:08.713038000,1024,1000000,0.98,1000,-1.9992906935244361,0.0010445582521148495,big,0.01,16,COMPLETE
103,103,721.6523358000001,2021-04-28 14:29:34.525247,2021-04-28 15:11:06.947394,0 days 00:41:32.422147000,2048,1000000,0.98,1000,-1.990624934468396,0.0010247827766305224,big,0.01,16,PRUNED
104,104,962.2877974,2021-04-28 14:34:55.399101,2021-04-28 16:55:55.121430,0 days 02:20:59.722329000,2048,1000000,0.98,1000,-2.2935092699131263,0.001995604024704004,big,0.01,512,COMPLETE
105,105,546.4692764,2021-04-28 14:52:28.053443,2021-04-28 17:48:08.165618,0 days 02:55:40.112175000,2048,10000,0.98,1000,-2.276912368674524,0.0019249109683382767,big,0.005,16,COMPLETE
106,106,1554.7826301999999,2021-04-28 15:11:06.949570,2021-04-28 17:37:57.780985,0 days 02:26:50.831415000,2048,10000,0.98,1000,-1.1500693106823365,0.0018633757390676083,big,0.005,16,COMPLETE
107,107,1155.6575204,2021-04-28 16:55:55.124349,2021-04-28 18:32:18.535783,0 days 01:36:23.411434000,1024,10000,0.98,1000,-1.580556237201443,0.0006814223818843795,big,0.005,16,COMPLETE
108,108,1109.5089974,2021-04-28 17:37:57.784593,2021-04-28 20:08:05.281647,0 days 02:30:07.497054000,2048,10000,0.98,1000,-1.327929126805273,0.003386533282926508,big,0.005,16,COMPLETE
109,109,1095.6233204,2021-04-28 17:48:08.170838,2021-04-28 20:48:47.661577,0 days 03:00:39.490739000,2048,10000,0.98,1000,-1.2313067158051516,0.002682332568562744,big,0.005,16,COMPLETE
110,110,1091.6375792,2021-04-28 18:32:18.538212,2021-04-28 20:56:31.042972,0 days 02:24:12.504760000,2048,10000,0.98,1000,-1.349193974571596,0.002790619517510546,big,0.005,16,COMPLETE
111,111,408.03870939999996,2021-04-28 20:08:05.286397,2021-04-28 20:56:19.417816,0 days 00:48:14.131419000,2048,10000,0.98,1000,-1.2697280765284544,0.004989092560325151,big,0.005,16,PRUNED
112,112,778.1391882,2021-04-28 20:48:47.664698,2021-04-29 00:20:37.106025,0 days 03:31:49.441327000,2048,10000,0.98,0,-1.3158146195640028,0.003696673935932748,big,0.005,16,COMPLETE
113,113,1097.7875405999998,2021-04-28 20:56:19.420995,2021-04-28 23:46:47.383540,0 days 02:50:27.962545000,2048,10000,0.98,0,-0.8516883458759501,0.00275190771635579,big,0.005,16,COMPLETE
114,114,1171.2601334000003,2021-04-28 20:56:31.044840,2021-04-28 23:51:41.665530,0 days 02:55:10.620690000,2048,10000,0.98,0,-0.9209881818584031,0.003523303287716574,big,0.02,16,COMPLETE
115,115,1052.9359444,2021-04-28 23:46:47.385441,2021-04-29 02:31:00.249705,0 days 02:44:12.864264000,2048,10000,0.98,0,-0.9009135844654803,0.003725845339751659,big,0.005,16,COMPLETE
116,116,1098.6144778000003,2021-04-28 23:51:41.673578,2021-04-29 02:34:02.784901,0 days 02:42:21.111323000,2048,10000,0.98,0,-1.0118335769283855,0.0024455609031507793,big,0.02,16,COMPLETE
